Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Dell'Orso,Arizona,G,37,28,18.2,2.4,5.4,0.450,1.4,3.3,0.413,1.1,2.1,0.506,0.575,1.0,1.1,0.902,0.4,0.9,1.4,1.4,0.5,0.1,0.7,0.9,7.2
Kanon Catchings,Brigham Young,F,31,15,17.4,2.5,6.0,0.411,1.4,4.0,0.350,1.1,2.0,0.532,0.527,0.9,1.5,0.587,0.6,1.5,2.2,0.7,0.6,0.4,0.8,1.2,7.2
Mike Sharavjamts,Utah,F,33,29,22.4,2.7,6.6,0.406,1.1,3.5,0.308,1.6,3.0,0.520,0.488,0.8,1.3,0.614,0.8,2.6,3.4,2.8,0.7,0.7,1.3,2.0,7.2
Jalen Celestine,Baylor,G,31,11,25.0,2.4,6.2,0.380,1.6,4.6,0.354,0.7,1.5,0.458,0.513,0.7,0.9,0.786,1.1,2.5,3.5,0.8,0.6,0.2,0.6,2.1,7.1
Trevor Baskin,Colorado,F,35,12,19.5,2.4,4.7,0.503,0.2,0.7,0.240,2.2,4.0,0.550,0.521,2.1,3.2,0.661,1.6,3.2,4.8,1.8,0.9,0.7,1.8,2.1,7.0
Dallin Hall,Brigham Young,G,32,10,24.6,2.1,5.3,0.402,1.1,3.2,0.353,1.0,2.1,0.478,0.509,1.4,2.1,0.672,0.6,1.6,2.2,4.2,0.7,0.1,1.6,1.8,6.8
Mason Madsen,Utah,G,30,5,14.3,2.4,6.0,0.392,1.6,4.1,0.382,0.8,1.9,0.414,0.522,0.5,0.8,0.696,0.4,1.9,2.3,1.2,0.6,0.1,0.8,1.0,6.8
Ernest Udeh Jr.,TCU,C,30,30,26.6,2.4,3.7,0.634,0.0,0.0,,2.4,3.7,0.634,0.634,1.8,3.1,0.598,3.1,4.4,7.5,1.2,1.4,1.3,1.1,2.2,6.6
Carter Bryant,Arizona,G,37,5,19.3,2.2,4.8,0.460,1.1,2.8,0.371,1.1,1.9,0.592,0.571,1.1,1.6,0.695,0.9,3.2,4.1,1.0,0.9,1.0,1.0,2.3,6.5
Terrance Arceneaux,Houston,G,40,6,20.3,2.5,5.5,0.443,0.7,2.1,0.337,1.8,3.5,0.507,0.507,0.9,1.2,0.729,1.0,1.8,2.7,0.7,0.9,0.3,0.7,1.2,6.5
David Punch,TCU,F,32,27,20.4,2.6,5.4,0.477,0.3,0.9,0.276,2.3,4.5,0.517,0.500,1.2,2.2,0.529,1.8,2.6,4.4,0.6,0.5,0.9,1.2,2.2,6.5
Brendan Wenzel,TCU,G,29,15,21.6,2.1,6.1,0.345,1.3,4.2,0.320,0.8,1.9,0.400,0.455,0.8,1.2,0.706,0.3,2.2,2.4,0.8,0.7,0.1,0.6,1.2,6.4
Joseph Yesufu,West Virginia,G,29,0,19.1,2.2,5.8,0.383,1.1,3.4,0.316,1.1,2.4,0.478,0.476,1.0,1.3,0.757,0.3,1.7,2.0,0.4,0.6,0.1,0.5,1.5,6.4
Rylan Griffen,Kansas,G,33,20,20.2,2.1,5.7,0.372,1.2,3.7,0.336,0.9,2.0,0.439,0.481,0.8,1.2,0.675,0.5,1.6,2.1,1.4,0.3,0.3,0.9,1.5,6.3
Jake Wahlin,Utah,F,33,23,23.5,2.4,5.1,0.467,0.8,2.3,0.351,1.5,2.7,0.567,0.548,0.8,1.2,0.667,1.5,3.4,4.9,1.5,0.7,0.7,0.8,2.4,6.3
RJ Smith,Colorado,G,34,16,21.7,2.3,5.1,0.448,1.1,3.0,0.386,1.1,2.1,0.535,0.561,0.5,0.6,0.773,0.1,2.3,2.5,1.7,0.7,0.4,1.2,1.8,6.2
Khalil Brantley,Oklahoma State,G,34,14,20.3,1.9,4.7,0.410,0.4,1.1,0.351,1.6,3.6,0.427,0.450,2.0,2.6,0.744,0.8,1.9,2.6,2.4,0.9,0.1,1.8,2.0,6.2
AJ Storr,Kansas,G,34,4,15.7,2.2,5.8,0.384,0.7,2.3,0.291,1.6,3.5,0.445,0.442,0.9,1.4,0.681,0.4,1.3,1.7,0.7,0.3,0.1,0.9,1.6,6.1
Jaylin Sellers,UCF,G,3,1,15.7,2.3,4.7,0.500,0.7,1.7,0.400,1.7,3.0,0.556,0.571,0.7,0.7,1.000,0.3,1.0,1.3,1.0,0.3,0.0,2.0,1.0,6.0
Kerwin Walton,Texas Tech,G,37,37,18.6,1.9,5.0,0.387,1.7,4.3,0.396,0.2,0.7,0.333,0.556,0.4,0.6,0.762,0.4,0.9,1.3,0.5,0.2,0.2,0.4,1.4,6.0
Mawot Mag,Brigham Young,F,34,22,19.3,2.0,4.1,0.486,0.9,2.1,0.397,1.1,1.9,0.585,0.591,1.1,1.4,0.750,0.7,1.4,2.1,0.7,0.7,0.2,0.7,1.6,5.9
Sebastian Rancik,Colorado,F,33,11,17.5,2.0,4.6,0.425,0.5,1.9,0.258,1.5,2.8,0.538,0.477,1.5,2.2,0.690,0.7,2.1,2.8,0.6,0.4,0.2,0.8,1.4,5.9
Flory Bidunga,Kansas,F,34,6,16.3,2.6,3.7,0.698,0.0,0.0,,2.6,3.7,0.698,0.698,0.7,1.3,0.533,1.8,3.6,5.4,0.3,0.6,1.6,0.8,2.2,5.9
Macaleab Rich,Kansas State,F,13,0,12.5,2.2,3.5,0.644,0.3,0.5,0.571,1.9,2.9,0.658,0.689,1.2,1.4,0.833,0.7,1.5,2.2,0.2,0.4,0.0,1.0,2.0,5.9
Sencire Harris,West Virginia,G,32,32,26.9,2.3,5.8,0.397,0.2,1.7,0.113,2.1,4.1,0.511,0.413,1.1,1.5,0.750,0.6,3.6,4.3,1.6,1.7,0.7,1.2,2.4,5.9
Christian Jones,Kansas State,G,33,9,18.8,2.1,5.2,0.407,0.5,1.7,0.309,1.6,3.5,0.453,0.456,0.9,1.4,0.674,0.2,1.5,1.7,1.5,0.5,0.2,1.0,2.0,5.7
Javon Ruffin,Colorado,G,33,10,20.3,2.0,5.3,0.371,0.8,2.7,0.315,1.1,2.6,0.430,0.451,0.8,1.0,0.788,0.3,1.7,2.0,2.1,0.5,0.2,1.6,1.7,5.6
Mylik Wilson,Houston,G,40,1,17.5,2.4,5.4,0.435,0.4,1.0,0.359,2.0,4.4,0.452,0.468,0.6,0.8,0.710,1.1,2.9,4.0,1.4,1.2,0.3,0.8,1.4,5.6
Amier Ali,Arizona State,F,32,4,19.2,1.7,4.5,0.372,0.9,2.9,0.326,0.8,1.7,0.453,0.476,1.2,1.7,0.717,0.4,2.7,3.1,0.8,0.5,0.0,0.6,1.2,5.5
Joseph Tugler,Houston,F,40,33,21.7,2.3,4.3,0.523,0.1,0.3,0.273,2.2,4.0,0.540,0.532,0.9,1.6,0.538,2.7,3.2,5.9,0.9,1.0,1.9,1.0,3.1,5.5
Jamyron Keller,Oklahoma State,G,35,26,21.0,1.8,5.2,0.352,1.0,3.0,0.333,0.8,2.2,0.377,0.448,0.8,1.1,0.700,0.4,2.1,2.5,1.4,0.8,0.1,0.9,1.8,5.5
Devan Cambridge,Texas Tech,G,6,2,17.7,2.2,3.7,0.591,0.7,1.2,0.571,1.5,2.5,0.600,0.682,0.5,0.7,0.750,1.2,2.3,3.5,0.3,0.3,0.0,1.0,1.5,5.5
Shawn Phillips Jr.,Arizona State,F,31,12,18.0,2.2,3.8,0.573,0.0,0.0,,2.2,3.8,0.573,0.573,1.1,1.8,0.600,1.5,3.7,5.2,0.6,0.2,1.1,1.4,3.0,5.4
Robert Jennings,Oklahoma State,F,35,35,16.5,1.6,3.3,0.474,0.2,0.7,0.261,1.4,2.7,0.527,0.500,2.1,2.6,0.783,1.1,2.3,3.4,0.3,0.4,0.3,1.2,2.2,5.4
Dallan Coleman,UCF,G,37,30,23.3,1.6,4.7,0.337,0.8,2.9,0.275,0.8,1.8,0.439,0.423,1.3,1.8,0.727,1.4,2.8,4.2,1.0,1.1,0.1,0.7,1.8,5.3
Micah Robinson,TCU,F,32,2,14.1,1.7,4.3,0.396,0.7,2.2,0.319,1.0,2.2,0.471,0.475,1.2,1.6,0.765,0.9,0.9,1.8,0.5,0.4,0.1,0.6,0.9,5.3
Miro Little,Utah,G,33,12,17.7,1.7,5.0,0.337,0.8,2.5,0.310,0.9,2.5,0.366,0.416,1.1,1.5,0.755,0.6,2.6,3.2,2.9,0.9,0.2,1.5,1.6,5.3
Mikey Williams,UCF,G,18,5,14.0,1.8,4.9,0.371,0.5,1.8,0.281,1.3,3.2,0.421,0.421,0.9,1.1,0.800,0.4,1.6,1.9,0.7,0.4,0.2,0.6,1.2,5.1
Ja'Vier Francis,Houston,F,38,7,15.7,1.9,3.2,0.608,0.0,0.0,0.000,1.9,3.1,0.613,0.608,1.3,1.8,0.721,1.9,2.4,4.4,0.2,0.4,1.0,0.9,2.2,5.1
Nate Heise,Iowa State,G,35,7,21.7,2.0,3.7,0.531,0.8,1.9,0.409,1.2,1.8,0.656,0.635,0.4,0.7,0.609,0.7,2.6,3.2,1.0,1.3,0.1,0.8,2.0,5.1
David Coit,Kansas,G,34,3,15.5,1.7,4.6,0.378,1.4,3.5,0.387,0.4,1.1,0.351,0.526,0.3,0.4,0.750,0.1,1.4,1.5,1.3,0.5,0.0,0.5,0.9,5.1
