Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pat Suemnick,Oklahoma State,F,34,1,11.7,1.1,2.2,0.520,0.0,0.1,0.000,1.1,2.1,0.534,0.520,0.6,1.5,0.440,0.9,1.1,1.9,0.3,0.4,0.2,0.5,1.1,2.9
Ugonna Onyenso,Kansas State,F,24,2,11.0,1.2,1.7,0.700,0.0,0.0,,1.2,1.7,0.700,0.700,0.4,0.5,0.769,1.0,1.5,2.4,0.1,0.3,0.9,0.3,1.0,2.8
Caleb Lohner,Utah,F,22,2,9.9,1.3,2.3,0.549,0.0,0.1,0.000,1.3,2.2,0.583,0.549,0.2,0.7,0.313,0.5,1.4,2.0,0.7,0.2,0.2,0.8,1.5,2.8
Zach Keller,Utah,F,28,0,9.9,1.1,2.0,0.561,0.2,0.5,0.400,0.9,1.5,0.619,0.614,0.3,0.8,0.381,0.7,0.7,1.4,0.6,0.2,0.0,0.5,1.7,2.8
Mercy Miller,Houston,G,22,0,8.6,0.7,2.9,0.254,0.2,1.3,0.179,0.5,1.6,0.314,0.294,1.0,1.5,0.719,0.5,1.5,1.9,0.4,0.3,0.1,0.4,0.9,2.7
Baye Fall,Kansas State,F,4,0,6.5,1.3,2.0,0.625,0.0,0.0,,1.3,2.0,0.625,0.625,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.8,0.8,1.3,2.5
David Castillo,Kansas State,G,32,2,10.0,0.6,2.7,0.221,0.5,2.1,0.254,0.1,0.6,0.105,0.320,0.7,0.8,0.880,0.0,0.6,0.6,0.8,0.4,0.0,0.6,0.7,2.4
KJ Tenner,West Virginia,G,30,0,13.2,0.9,2.7,0.350,0.1,0.9,0.154,0.8,1.8,0.444,0.375,0.4,0.6,0.611,0.1,0.6,0.7,1.1,0.8,0.0,0.4,1.8,2.4
Malick Diallo,TCU,C,29,0,10.9,0.9,1.8,0.490,0.0,0.0,,0.9,1.8,0.490,0.490,0.5,0.9,0.556,1.3,1.4,2.7,0.2,0.3,0.6,0.8,1.9,2.2
Nojus Indrusaitis,Iowa State,G,15,0,5.7,0.7,2.0,0.333,0.1,0.9,0.143,0.5,1.1,0.500,0.367,0.6,1.1,0.529,0.0,0.4,0.4,0.3,0.1,0.0,0.4,0.9,2.1
Mobi Ikegwuruka,Kansas State,G,24,0,8.0,0.9,1.5,0.600,0.0,0.0,,0.9,1.5,0.600,0.600,0.4,0.7,0.529,0.8,1.6,2.4,0.1,0.6,0.2,0.4,1.1,2.1
Austin Nunez,Arizona State,G,4,0,11.3,0.8,2.3,0.333,0.5,1.5,0.333,0.3,0.8,0.333,0.444,0.0,0.0,,0.3,1.5,1.8,0.8,0.5,0.0,0.8,1.3,2.0
Rokas Jocius,UCF,C,25,2,8.6,0.8,2.0,0.420,0.1,0.5,0.154,0.8,1.5,0.514,0.440,0.2,0.3,0.714,0.6,1.0,1.6,0.3,0.0,0.2,0.4,1.4,2.0
Felix Kossaras,Colorado,G,29,1,10.8,0.7,1.6,0.413,0.2,0.6,0.313,0.5,1.0,0.467,0.467,0.5,0.9,0.577,0.2,1.0,1.2,0.8,0.4,0.1,0.7,0.9,2.0
Nick Randall,Colorado,F,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Ramon Walker Jr.,Houston,G,8,0,11.5,0.8,1.5,0.500,0.3,0.5,0.500,0.5,1.0,0.500,0.583,0.3,0.4,0.667,0.8,1.6,2.4,0.0,0.3,0.3,0.1,0.6,2.0
Isaiah Manning,TCU,F,24,0,7.3,0.7,2.4,0.298,0.4,1.8,0.209,0.3,0.6,0.571,0.377,0.2,0.3,0.714,0.3,0.5,0.8,0.3,0.2,0.0,0.1,1.0,2.0
Rayvon Griffith,Cincinnati,G,19,0,5.7,0.6,1.7,0.333,0.2,0.8,0.188,0.4,0.9,0.471,0.379,0.6,0.7,0.786,0.4,0.4,0.8,0.3,0.1,0.1,0.2,0.9,1.9
Jake Auer,West Virginia,G,14,0,3.2,0.6,1.3,0.500,0.6,1.1,0.563,0.0,0.1,0.000,0.750,0.0,0.0,,0.2,0.5,0.7,0.0,0.1,0.0,0.0,0.3,1.9
Demarion Watson,Iowa State,G,18,0,8.8,0.5,1.4,0.360,0.2,0.6,0.273,0.3,0.8,0.429,0.420,0.7,0.8,0.800,0.8,1.4,2.3,0.2,0.3,0.6,0.3,1.0,1.8
Andrija Vukovic,Oklahoma State,F,11,0,4.3,0.4,0.6,0.571,0.0,0.0,,0.4,0.6,0.571,0.571,1.1,1.7,0.632,0.3,0.5,0.7,0.0,0.0,0.0,0.2,0.4,1.8
Connor Dow,Oklahoma State,G,24,1,8.5,0.6,1.5,0.389,0.4,1.1,0.370,0.2,0.4,0.444,0.528,0.2,0.3,0.500,0.6,0.8,1.4,0.3,0.3,0.1,0.3,0.8,1.8
Trey Stewart,Brigham Young,G,29,0,7.6,0.5,1.4,0.366,0.4,1.1,0.364,0.1,0.3,0.375,0.512,0.2,0.3,0.750,0.1,0.2,0.3,0.4,0.4,0.1,0.2,1.1,1.7
Wilder Evers,Kansas,G,6,0,2.5,0.7,0.8,0.800,0.3,0.5,0.667,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.3,1.7
Davonte Davis,Oklahoma State,G,27,9,13.6,0.6,2.1,0.298,0.2,1.3,0.176,0.4,0.9,0.478,0.351,0.2,0.4,0.545,0.4,0.9,1.3,0.8,0.4,0.0,0.5,1.8,1.7
Conrad Martinez,Arizona,G,22,0,5.0,0.5,0.8,0.667,0.2,0.5,0.500,0.3,0.4,0.875,0.806,0.3,0.4,0.875,0.0,0.3,0.3,1.0,0.3,0.0,0.3,0.5,1.6
Jason Asemota,Baylor,F,24,0,6.3,0.6,1.8,0.326,0.3,1.0,0.250,0.3,0.8,0.421,0.395,0.2,0.3,0.500,0.5,1.0,1.5,0.2,0.3,0.2,0.1,1.0,1.6
Drew McElroy,TCU,G,2,0,1.0,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5
Zach Clemence,Kansas,F,8,0,5.3,0.5,1.1,0.444,0.0,0.3,0.000,0.5,0.9,0.571,0.444,0.4,0.6,0.600,0.8,0.6,1.4,0.4,0.6,0.1,0.4,1.0,1.4
Emmanuel Stephen,Arizona,F,8,0,3.0,0.6,0.6,1.000,0.0,0.0,,0.6,0.6,1.000,1.000,0.0,0.4,0.000,0.1,1.1,1.3,0.1,0.3,0.1,0.3,0.5,1.3
CJ Fredrick,Cincinnati,G,19,0,9.2,0.4,1.2,0.318,0.4,0.9,0.389,0.0,0.2,0.000,0.477,0.2,0.3,0.667,0.0,0.6,0.6,0.4,0.1,0.1,0.2,0.3,1.3
Ayomide Bamisile,Utah,F,6,0,2.5,0.7,0.8,0.800,0.0,0.0,,0.7,0.8,0.800,0.800,0.0,0.0,,0.2,0.2,0.3,0.0,0.2,0.0,0.0,0.2,1.3
Elijah Crawford,Brigham Young,G,21,0,5.2,0.4,1.2,0.346,0.1,0.4,0.222,0.3,0.8,0.412,0.385,0.2,0.3,0.714,0.2,0.4,0.6,0.7,0.3,0.0,0.3,0.7,1.2
Dillon Wilhite,Kansas,F,5,0,2.8,0.6,0.6,1.000,0.0,0.0,,0.6,0.6,1.000,1.000,0.0,0.0,,0.2,0.2,0.4,0.0,0.2,0.0,0.2,0.2,1.2
Omar Adegbola,Baylor,G,11,0,2.1,0.5,0.9,0.500,0.1,0.3,0.333,0.4,0.6,0.571,0.550,0.1,0.1,1.000,0.3,0.1,0.4,0.1,0.0,0.0,0.1,0.1,1.1
Tyler Caron,Oklahoma State,F,7,0,2.4,0.4,0.7,0.600,0.3,0.6,0.500,0.1,0.1,1.000,0.800,0.0,0.0,,0.0,0.3,0.3,0.0,0.4,0.1,0.4,0.0,1.1
Sven Djopmo,Arizona,G,2,0,1.0,0.5,1.0,0.500,0.0,0.0,,0.5,1.0,0.500,0.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0
Jared McGregor,Brigham Young,G,4,0,1.5,0.3,1.0,0.250,0.3,1.0,0.250,0.0,0.0,,0.375,0.3,0.5,0.500,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0
Jack Pease,Colorado,G,4,0,1.5,0.3,1.5,0.167,0.3,0.5,0.500,0.0,1.0,0.000,0.250,0.3,0.5,0.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Kordelius Jefferson,Houston,G,16,0,3.7,0.4,1.3,0.333,0.1,0.8,0.154,0.3,0.5,0.625,0.381,0.0,0.1,0.000,0.0,0.2,0.2,0.0,0.1,0.1,0.2,0.6,1.0
Justin Cross,Kansas,G,4,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.3,0.5,0.0,0.3,1.0
Adam Stewart,TCU,C,2,0,1.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brody Kozlowski,Brigham Young,F,9,0,3.3,0.2,0.4,0.500,0.2,0.4,0.500,0.0,0.0,,0.750,0.2,0.2,1.000,0.0,0.4,0.4,0.0,0.1,0.0,0.1,0.1,0.9
Grant Weitman,Arizona,G,12,0,1.8,0.3,0.5,0.667,0.2,0.3,0.667,0.2,0.3,0.667,0.833,0.0,0.0,,0.1,0.5,0.6,0.0,0.2,0.1,0.1,0.1,0.8
Taj Manning,Kansas State,F,8,0,2.6,0.3,0.5,0.500,0.3,0.5,0.500,0.0,0.0,,0.750,0.0,0.0,,0.1,0.6,0.8,0.0,0.1,0.0,0.1,0.5,0.8
Cedric Lath,Houston,C,20,0,5.6,0.3,0.6,0.455,0.0,0.0,,0.3,0.6,0.455,0.455,0.2,0.6,0.273,1.0,0.3,1.3,0.1,0.1,0.3,0.2,1.0,0.7
Cade Kelderman,Iowa State,G,15,0,5.4,0.3,0.7,0.364,0.1,0.4,0.333,0.1,0.3,0.400,0.455,0.0,0.1,0.000,0.1,0.1,0.3,0.7,0.4,0.0,0.3,0.8,0.7
JT Rock,Iowa State,C,9,0,2.3,0.3,0.6,0.600,0.0,0.0,,0.3,0.6,0.600,0.600,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.1,0.1,0.1,0.7
Kayden Fish,Iowa State,F,9,0,2.3,0.2,0.6,0.400,0.0,0.0,,0.2,0.6,0.400,0.400,0.2,0.3,0.667,0.1,0.2,0.3,0.0,0.1,0.1,0.3,0.1,0.7
Rakease Passmore,Kansas,G,23,0,5.0,0.3,0.9,0.286,0.1,0.4,0.222,0.2,0.5,0.333,0.333,0.1,0.3,0.429,0.2,0.4,0.6,0.3,0.2,0.0,0.6,0.6,0.7
Davidson Hubbard,Baylor,F,11,0,2.1,0.3,0.5,0.500,0.1,0.3,0.333,0.2,0.3,0.667,0.583,0.0,0.0,,0.1,0.5,0.5,0.0,0.0,0.1,0.1,0.1,0.6
Halvine Dzellat,Cincinnati,F,10,0,3.8,0.1,0.7,0.143,0.0,0.0,,0.1,0.7,0.143,0.143,0.4,0.6,0.667,0.3,0.4,0.7,0.0,0.2,0.1,0.1,0.8,0.6
Jerry Huang,Utah,G,9,0,2.1,0.2,0.6,0.400,0.0,0.2,0.000,0.2,0.3,0.667,0.400,0.1,0.2,0.500,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.6
Joul Karram,Utah,C,8,0,3.6,0.3,0.4,0.667,0.0,0.0,,0.3,0.4,0.667,0.667,0.1,0.3,0.500,0.5,0.9,1.4,0.4,0.0,0.0,0.3,0.8,0.6
Bobby Hurley,Arizona State,G,10,0,4.8,0.1,0.1,1.000,0.0,0.0,,0.1,0.1,1.000,1.000,0.3,0.4,0.750,0.2,0.0,0.2,0.0,0.1,0.0,0.0,1.1,0.5
Marino Dubravcic,Baylor,F,18,0,3.3,0.2,0.3,0.500,0.0,0.0,,0.2,0.3,0.500,0.500,0.2,0.3,0.500,0.2,0.2,0.4,0.0,0.1,0.0,0.2,0.4,0.5
Courtney Anderson,Colorado,G,4,0,4.0,0.3,1.0,0.250,0.0,0.5,0.000,0.3,0.5,0.500,0.250,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.3,0.3,0.5
Haris Elezovic,West Virginia,F,13,0,4.2,0.2,0.5,0.429,0.0,0.1,0.000,0.2,0.5,0.500,0.429,0.0,0.0,,0.5,0.8,1.2,0.2,0.0,0.1,0.2,0.5,0.5
Kirk Cole,Oklahoma State,G,7,0,1.3,0.1,0.4,0.333,0.0,0.3,0.000,0.1,0.1,1.000,0.333,0.1,0.3,0.500,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4
Brady Smith,Utah,G,9,0,2.0,0.2,1.0,0.222,0.0,0.2,0.000,0.2,0.8,0.286,0.222,0.0,0.1,0.000,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.4
Addison Arnold,Arizona,G,11,0,1.4,0.1,0.4,0.250,0.0,0.1,0.000,0.1,0.3,0.333,0.250,0.1,0.2,0.500,0.2,0.1,0.3,0.0,0.1,0.0,0.2,0.4,0.3
Jordan Williams,Arizona State,G,7,0,0.9,0.1,0.1,1.000,0.0,0.0,,0.1,0.1,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
Liam Lloyd,Arizona,G,14,0,2.0,0.0,0.6,0.000,0.0,0.5,0.000,0.0,0.1,0.000,0.000,0.2,0.3,0.750,0.1,0.3,0.4,0.1,0.1,0.0,0.0,0.2,0.2
Will Menaugh,Arizona,F,11,0,1.1,0.1,0.2,0.500,0.0,0.0,,0.1,0.2,0.500,0.500,0.0,0.0,,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.2
Jack Francis,Texas Tech,G,11,0,1.9,0.1,0.3,0.333,0.0,0.2,0.000,0.1,0.1,1.000,0.333,0.0,0.0,,0.3,0.2,0.5,0.0,0.0,0.0,0.2,0.3,0.2
Leon Horner,Texas Tech,F,9,0,2.6,0.1,0.4,0.250,0.0,0.1,0.000,0.1,0.3,0.333,0.250,0.0,0.0,,0.2,0.3,0.6,0.0,0.1,0.1,0.1,0.2,0.2
Corbin Green,Texas Tech,F,9,0,1.4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.1,0.2,0.500,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.0,0.1
Jackson Cook,Arizona,G,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Francois,Arizona,G,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Luke Champion,Arizona,F,9,0,1.6,0.0,0.3,0.000,0.0,0.3,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Will Kuykendall,Arizona,G,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Chianti Clay,Arizona State,G,5,0,0.8,0.0,0.8,0.000,0.0,0.6,0.000,0.0,0.2,0.000,0.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0
Connor Braun,Arizona State,F,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quentin McCoy,Arizona State,G,6,0,0.8,0.0,0.2,0.000,0.0,0.0,,0.0,0.2,0.000,0.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Max Triplett,Brigham Young,F,8,0,1.6,0.0,0.1,0.000,0.0,0.0,,0.0,0.1,0.000,0.000,0.0,0.0,,0.4,0.5,0.9,0.1,0.0,0.1,0.0,0.1,0.0
Townsend Tripple,Brigham Young,F,5,0,1.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0
Poohpha Warakulnukroh,UCF,G,4,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.5,0.000,0.0,0.5,0.5,0.3,0.3,0.0,0.3,0.0,0.0
Grady Whitt,Colorado,G,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Greg Gerhardt,Colorado,F,1,0,3.0,0.0,3.0,0.000,0.0,2.0,0.000,0.0,1.0,0.000,0.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Conrad Hawley,Iowa State,F,2,0,1.0,0.0,0.5,0.000,0.0,0.0,,0.0,0.5,0.000,0.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Cassidy,Kansas,G,5,0,2.4,0.0,1.2,0.000,0.0,1.2,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.0
Will Thengvall,Kansas,G,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Spencer Bain,Kansas State,G,6,0,1.3,0.0,0.5,0.000,0.0,0.5,0.000,0.0,0.0,,0.000,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Jaxton Bobik,Oklahoma State,F,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Stuart,TCU,G,2,0,1.0,0.0,0.5,0.000,0.0,0.0,,0.0,0.5,0.000,0.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Aden Tagaloa-Nelson,West Virginia,G,1,0,2.0,0.0,1.0,0.000,0.0,0.0,,0.0,1.0,0.000,0.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
League Average,,,,,,,,0.450,,,0.344,,,0.519,0.517,,,0.724,,,,,,,,,
