player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Luke Kornet,23,23,9,15.2,2.3,5.4,.427,1.6,3.6,.434,0.7,1.8,.415,.573,0.8,1.0,.826,0.6,1.9,2.5,1.3,0.6,0.5,0.6,0.8,7.0,NYK
Courtney Lee,33,12,2,13.3,1.8,3.9,.447,0.4,1.3,.313,1.3,2.6,.516,.500,0.8,1.2,.643,0.5,1.8,2.3,1.3,0.7,0.2,0.4,1.1,4.7,NYK
Ron Baker,25,11,0,9.7,0.4,1.5,.250,0.1,0.8,.111,0.3,0.6,.429,.281,0.5,0.5,.833,0.1,0.5,0.6,1.2,0.5,0.0,0.3,1.5,1.3,NYK
John Collins,21,32,30,30.0,7.9,13.3,.593,0.9,2.3,.387,7.0,10.9,.637,.627,2.7,3.8,.719,3.7,6.4,10.2,2.3,0.3,0.3,2.1,3.4,19.4,ATL
Trae Young,20,48,48,29.8,5.6,14.0,.402,1.5,5.3,.290,4.1,8.7,.470,.457,3.4,4.2,.803,0.6,2.5,3.1,7.3,0.9,0.3,4.1,1.7,16.2,ATL
Kent Bazemore,29,35,30,27.4,5.1,11.5,.441,1.5,4.7,.327,3.5,6.7,.521,.509,2.3,3.1,.752,0.6,3.4,4.0,2.6,1.7,0.9,2.1,2.7,14.0,ATL
Taurean Waller-Prince,24,27,22,27.4,5.0,11.6,.428,2.2,6.1,.355,2.8,5.4,.510,.522,1.7,2.1,.839,0.4,3.7,4.1,2.0,1.1,0.3,2.2,2.8,13.9,ATL
Kevin Huerter,20,44,28,26.9,3.4,8.2,.411,1.7,4.4,.381,1.7,3.8,.446,.514,0.7,0.9,.744,0.8,2.3,3.1,2.6,0.8,0.4,1.6,2.0,9.1,ATL
DeAndre' Bembry,24,48,12,25.2,3.4,8.0,.430,0.7,2.4,.302,2.7,5.6,.485,.475,1.1,1.8,.607,0.6,3.7,4.3,2.7,1.3,0.6,1.8,2.6,8.7,ATL
Dewayne Dedmon,29,38,27,24.6,3.8,8.1,.476,1.2,3.1,.373,2.7,5.0,.540,.547,1.4,1.6,.869,1.5,5.8,7.3,1.4,1.1,1.0,1.4,3.3,10.2,ATL
Alex Len,25,44,20,20.0,4.0,8.3,.484,0.5,1.8,.291,3.5,6.5,.537,.515,1.9,2.9,.669,2.3,3.5,5.8,1.0,0.4,1.0,1.5,2.7,10.5,ATL
Jeremy Lin,30,43,1,19.9,3.6,7.7,.473,0.9,2.6,.336,2.7,5.0,.544,.530,2.8,3.3,.826,0.3,2.0,2.4,3.7,0.8,0.1,2.0,1.9,10.9,ATL
Omari Spellman,21,31,10,17.1,2.1,5.1,.411,0.9,2.5,.367,1.2,2.5,.456,.503,0.8,1.2,.722,1.6,2.5,4.2,0.9,0.6,0.6,0.8,1.5,6.0,ATL
Vince Carter,42,44,8,16.6,2.4,5.9,.406,1.5,4.0,.374,0.9,2.0,.471,.531,0.5,0.6,.714,0.5,2.3,2.8,1.0,0.6,0.3,0.7,1.8,6.8,ATL
Alex Poythress,25,18,1,13.5,1.9,3.6,.538,0.4,1.0,.389,1.6,2.6,.596,.592,0.6,1.2,.524,1.3,1.9,3.3,0.7,0.2,0.4,0.6,2.2,4.9,ATL
Daniel Hamilton,23,17,3,11.6,1.4,3.4,.397,0.5,1.3,.364,0.9,2.1,.417,.466,0.2,0.4,.500,0.6,2.1,2.7,1.2,0.4,0.1,0.9,1.0,3.4,ATL
Miles Plumlee,30,18,0,9.6,1.8,2.7,.667,0.0,0.0,,1.8,2.7,.667,.667,0.9,1.7,.533,0.9,1.3,2.2,0.9,0.3,0.2,0.6,0.8,4.4,ATL
