Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
69,69,2025-03-16,,PHI,L,125,130,,46,87,0.529,10,34,0.294,36,53,0.679,0.586,23,30,0.767,10,35,45,26,4,3,15,19,48,92,0.522,14,36,0.389,34,56,0.607,0.598,20,24,0.833,9,30,39,21,13,3,11,21,121.4,126.2,103.0,0.345,0.391,0.624,53.6,56.5,3.9,5.4,0.586,13.0,25.0,0.264,0.598,9.7,20.5,0.217
70,70,2025-03-19,@,IND,L,131,135,,48,88,0.545,11,27,0.407,37,61,0.607,0.608,24,32,0.750,7,34,41,23,6,0,13,26,45,82,0.549,16,35,0.457,29,47,0.617,0.646,29,37,0.784,6,32,38,29,4,5,11,26,126.0,129.8,104.0,0.364,0.307,0.642,51.9,47.9,5.8,0.0,0.608,11.3,17.9,0.273,0.646,10.1,15.0,0.354
71,71,2025-03-21,,DET,W,123,117,,42,80,0.525,12,34,0.353,30,46,0.652,0.600,27,36,0.750,10,34,44,25,10,7,20,16,46,98,0.469,11,31,0.355,35,67,0.522,0.526,14,19,0.737,15,26,41,24,14,5,14,22,119.6,113.8,102.8,0.450,0.425,0.642,51.8,59.5,9.7,10.4,0.600,17.3,27.8,0.338,0.526,11.6,30.6,0.143
72,72,2025-03-24,@,BRK,W,120,101,,49,87,0.563,10,31,0.323,39,56,0.696,0.621,12,16,0.750,11,30,41,34,10,1,11,15,40,78,0.513,11,33,0.333,29,45,0.644,0.583,10,14,0.714,9,28,37,30,7,2,19,15,128.9,108.5,93.1,0.184,0.356,0.638,52.6,69.4,10.7,2.2,0.621,10.5,28.2,0.138,0.583,18.4,23.1,0.128
73,73,2025-03-25,@,NYK,L,113,128,,43,80,0.538,6,19,0.316,37,61,0.607,0.575,21,25,0.840,5,28,33,19,9,3,16,16,53,89,0.596,10,26,0.385,43,63,0.683,0.652,12,18,0.667,5,31,36,40,9,4,15,18,109.8,124.4,102.9,0.313,0.238,0.621,47.8,44.2,8.7,4.8,0.575,15.0,13.9,0.263,0.652,13.4,15.2,0.135
74,74,2025-03-27,@,ORL,W,101,92,,37,78,0.474,11,22,0.500,26,56,0.464,0.545,16,22,0.727,5,35,40,21,10,1,15,17,34,80,0.425,5,30,0.167,29,50,0.580,0.456,19,24,0.792,10,34,44,14,5,5,17,20,105.3,95.9,95.9,0.282,0.282,0.576,47.6,56.8,10.4,2.0,0.545,14.6,12.8,0.205,0.456,15.8,22.2,0.238
75,75,2025-03-29,@,CHI,W,120,119,,47,101,0.465,9,30,0.300,38,71,0.535,0.510,17,21,0.810,8,33,41,28,9,8,6,18,43,91,0.473,14,33,0.424,29,58,0.500,0.549,19,24,0.792,12,44,56,31,4,3,19,17,113.0,112.0,106.2,0.208,0.297,0.544,42.3,59.6,8.5,13.8,0.510,5.2,15.4,0.168,0.549,15.8,26.7,0.209
76,76,2025-03-31,,BRK,L,109,113,,41,86,0.477,10,30,0.333,31,56,0.554,0.535,17,29,0.586,12,37,49,29,4,3,10,19,39,90,0.433,20,51,0.392,19,39,0.487,0.544,15,20,0.750,7,33,40,32,6,3,8,23,113.5,117.7,96.0,0.337,0.349,0.552,55.1,70.7,4.2,7.7,0.535,9.2,26.7,0.198,0.544,7.5,15.9,0.167
77,77,2025-04-02,,ATL,W,120,118,,44,83,0.530,15,33,0.455,29,50,0.580,0.620,17,21,0.810,4,38,42,27,7,8,15,16,42,97,0.433,15,39,0.385,27,58,0.466,0.510,19,22,0.864,12,31,43,29,7,3,11,19,117.5,115.5,102.2,0.253,0.398,0.650,49.4,61.4,6.9,13.8,0.620,14.0,11.4,0.205,0.510,9.3,24.0,0.196
78,78,2025-04-04,@,LAC,L,91,114,,35,77,0.455,4,20,0.200,31,57,0.544,0.481,17,26,0.654,6,33,39,19,7,0,18,14,44,89,0.494,14,30,0.467,30,59,0.508,0.573,12,16,0.750,11,37,48,23,11,4,13,23,93.1,116.6,97.7,0.338,0.260,0.514,44.8,54.3,7.2,0.0,0.481,16.9,14.0,0.221,0.573,11.9,25.0,0.135
79,79,2025-04-05,@,LAC,L,104,135,,34,78,0.436,7,27,0.259,27,51,0.529,0.481,29,38,0.763,10,31,41,18,5,8,16,18,54,96,0.563,11,28,0.393,43,68,0.632,0.620,16,20,0.800,10,35,45,31,11,3,7,22,104.6,135.8,99.4,0.487,0.346,0.549,47.7,52.9,5.0,11.8,0.481,14.5,22.2,0.372,0.620,6.3,24.4,0.167
80,80,2025-04-09,,LAL,L,97,112,,36,72,0.500,9,26,0.346,27,46,0.587,0.563,16,23,0.696,9,29,38,30,6,6,20,14,42,90,0.467,12,36,0.333,30,54,0.556,0.533,16,21,0.762,15,24,39,22,14,0,12,16,105.7,122.0,91.8,0.319,0.361,0.591,49.4,83.3,6.5,11.1,0.563,19.6,27.3,0.222,0.533,10.8,34.1,0.178
81,81,2025-04-11,,TOR,W,124,102,,49,89,0.551,15,34,0.441,34,55,0.618,0.635,11,17,0.647,12,44,56,34,8,10,20,12,40,100,0.400,11,39,0.282,29,61,0.475,0.455,11,18,0.611,16,27,43,22,11,4,11,15,121.7,100.1,101.9,0.191,0.382,0.643,56.6,69.4,7.9,16.4,0.635,17.2,30.8,0.124,0.455,9.2,26.7,0.110
82,82,2025-04-13,@,MEM,L,97,132,,38,87,0.437,5,28,0.179,33,59,0.559,0.466,16,22,0.727,10,28,38,20,6,3,18,13,52,104,0.500,15,40,0.375,37,64,0.578,0.572,13,15,0.867,19,34,53,31,13,7,12,15,96.3,131.1,100.7,0.253,0.322,0.502,41.8,52.6,6.0,4.7,0.466,15.7,22.7,0.184,0.572,9.8,40.4,0.125
