Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
42,42,2025-01-20,@,CLE,L,92,118,,36,77,0.468,10,26,0.385,26,51,0.510,0.532,10,13,0.769,1,33,34,22,3,5,17,20,41,95,0.432,19,46,0.413,22,49,0.449,0.532,17,23,0.739,15,35,50,27,10,1,9,18,95.3,122.2,96.6,0.169,0.338,0.556,40.5,61.1,3.1,10.2,0.532,17.0,2.8,0.130,0.532,7.9,31.3,0.179
43,43,2025-01-22,@,BRK,W,108,84,,42,88,0.477,14,41,0.341,28,47,0.596,0.557,10,13,0.769,11,37,48,28,9,1,11,12,34,91,0.374,7,36,0.194,27,55,0.491,0.412,9,14,0.643,20,32,52,16,8,1,17,11,117.5,91.4,91.9,0.148,0.466,0.576,48.0,66.7,9.8,1.8,0.557,10.5,25.6,0.114,0.412,14.9,35.1,0.099
44,44,2025-01-25,,WAS,W,119,109,,40,90,0.444,13,40,0.325,27,50,0.540,0.517,26,28,0.929,12,41,53,23,4,4,11,11,42,90,0.467,18,41,0.439,24,49,0.490,0.567,7,9,0.778,5,32,37,28,8,5,8,17,122.9,112.6,96.8,0.311,0.444,0.582,58.9,57.5,4.1,8.2,0.517,9.7,27.3,0.289,0.567,7.8,10.9,0.078
45,45,2025-01-27,,LAC,W,111,109,,40,85,0.471,22,47,0.468,18,38,0.474,0.600,9,11,0.818,11,28,39,23,10,5,17,17,41,83,0.494,10,32,0.313,31,51,0.608,0.554,17,20,0.850,10,32,42,22,12,5,15,15,117.9,115.8,94.1,0.129,0.553,0.618,48.1,57.5,10.6,9.8,0.600,15.9,25.6,0.106,0.554,14.0,26.3,0.205
46,46,2025-01-29,,MIN,L,113,121,,43,85,0.506,12,32,0.375,31,53,0.585,0.576,15,20,0.750,10,26,36,30,7,6,16,25,42,75,0.560,13,29,0.448,29,46,0.630,0.647,24,27,0.889,4,30,34,26,8,6,16,19,116.0,124.2,97.4,0.235,0.376,0.602,51.4,69.8,7.2,13.0,0.576,14.6,25.0,0.176,0.647,15.6,13.3,0.320
47,47,2025-01-31,@,GSW,W,130,105,,50,89,0.562,19,39,0.487,31,50,0.620,0.669,11,16,0.688,4,44,48,41,7,7,15,20,36,96,0.375,16,44,0.364,20,52,0.385,0.458,17,25,0.680,14,35,49,26,11,6,12,19,124.6,100.7,104.3,0.180,0.438,0.677,49.5,82.0,6.7,13.5,0.669,13.5,10.3,0.124,0.458,10.1,24.1,0.177
48,48,2025-02-01,@,POR,L,108,127,,38,84,0.452,10,33,0.303,28,51,0.549,0.512,22,26,0.846,11,26,37,21,5,2,19,21,46,89,0.517,9,31,0.290,37,58,0.638,0.567,26,31,0.839,10,33,43,24,11,5,10,20,108.2,127.2,99.9,0.310,0.393,0.566,46.3,55.3,5.0,3.4,0.512,16.6,25.0,0.262,0.567,8.9,27.8,0.292
49,49,2025-02-03,@,POR,L,119,121,OT,40,85,0.471,15,42,0.357,25,43,0.581,0.559,24,28,0.857,10,33,43,28,12,5,15,21,40,89,0.449,16,40,0.400,24,49,0.490,0.539,25,30,0.833,14,34,48,30,6,2,13,21,119.8,121.8,89.9,0.329,0.494,0.611,47.3,70.0,12.1,10.2,0.559,13.4,22.7,0.282,0.539,11.3,29.8,0.281
50,50,2025-02-05,@,OKC,L,109,140,,33,70,0.471,14,36,0.389,19,34,0.559,0.571,29,33,0.879,3,32,35,24,3,2,22,17,52,102,0.510,12,42,0.286,40,60,0.667,0.569,24,27,0.889,17,29,46,24,15,4,6,23,108.1,138.8,100.9,0.471,0.514,0.645,43.2,72.7,3.0,3.3,0.571,20.7,9.4,0.414,0.569,5.0,34.7,0.235
51,51,2025-02-07,,UTA,W,135,127,OT,47,104,0.452,22,56,0.393,25,48,0.521,0.558,19,21,0.905,12,37,49,31,6,15,8,17,48,117,0.410,13,48,0.271,35,69,0.507,0.466,18,20,0.900,25,38,63,29,5,7,12,16,126.8,119.3,96.4,0.202,0.538,0.596,43.8,66.0,5.6,21.7,0.558,6.6,24.0,0.183,0.466,8.7,40.3,0.154
52,52,2025-02-08,,DEN,L,105,122,,38,98,0.388,17,50,0.340,21,48,0.438,0.474,12,15,0.800,17,26,43,25,5,6,6,15,45,92,0.489,16,35,0.457,29,57,0.509,0.576,16,17,0.941,15,41,56,28,5,4,10,13,115.6,134.4,90.8,0.153,0.510,0.502,43.4,65.8,5.5,10.5,0.474,5.4,29.3,0.122,0.576,9.1,36.6,0.174
